person_verse_id,reference_id,person_label_id,person_id,person_label,person_label_count,person_verse_sequence,person_verse_notes
ACT 16:12__NA,ACT 16:12,NA,NA,NA,,39920,
ACT 16:13__NA,ACT 16:13,NA,NA,NA,,39921,
ACT 16:14__Lydia_1_1,ACT 16:14,Lydia_1_1,Lydia_1,Lydia,1,39922,
ACT 16:14__YHVH_1_1,ACT 16:14,YHVH_1_1,YHVH_1,G-d,1,39923,
ACT 16:14__YHVH_1_11,ACT 16:14,YHVH_1_11,YHVH_1,Lord,1,39924,
ACT 16:14__Saul_2_2,ACT 16:14,Saul_2_2,Saul_2,Paul,1,39925,
ACT 16:15__YHVH_1_11,ACT 16:15,YHVH_1_11,YHVH_1,Lord,1,39926,
ACT 16:16__NA,ACT 16:16,NA,NA,NA,,39927,
ACT 16:17__Saul_2_2,ACT 16:17,Saul_2_2,Saul_2,Paul,1,39928,
ACT 16:17__YHVH_1_5,ACT 16:17,YHVH_1_5,YHVH_1,G-d Most High,1,39929,"The NASB renders this ""Most High G-d"""
ACT 16:18__Saul_2_2,ACT 16:18,Saul_2_2,Saul_2,Paul,1,39930,
ACT 16:18__YHVH_1_127,ACT 16:18,YHVH_1_127,YHVH_1,Jesus Christ,1,39931,
ACT 16:19__Saul_2_2,ACT 16:19,Saul_2_2,Saul_2,Paul,1,39932,
ACT 16:19__Silas_1_1,ACT 16:19,Silas_1_1,Silas_1,Silas,1,39933,
ACT 16:20__NA,ACT 16:20,NA,NA,NA,,39934,
ACT 16:21__NA,ACT 16:21,NA,NA,NA,,39935,
ACT 16:22__NA,ACT 16:22,NA,NA,NA,,39936,
ACT 16:23__NA,ACT 16:23,NA,NA,NA,,39937,
ACT 16:24__NA,ACT 16:24,NA,NA,NA,,39938,
ACT 16:25__Saul_2_2,ACT 16:25,Saul_2_2,Saul_2,Paul,1,39939,
ACT 16:25__Silas_1_1,ACT 16:25,Silas_1_1,Silas_1,Silas,1,39940,
ACT 16:25__YHVH_1_1,ACT 16:25,YHVH_1_1,YHVH_1,G-d,1,39941,
ACT 16:26__NA,ACT 16:26,NA,NA,NA,,39942,
ACT 16:27__NA,ACT 16:27,NA,NA,NA,,39943,
ACT 16:28__Saul_2_2,ACT 16:28,Saul_2_2,Saul_2,Paul,1,39944,
ACT 16:29__Saul_2_2,ACT 16:29,Saul_2_2,Saul_2,Paul,1,39945,
ACT 16:29__Silas_1_1,ACT 16:29,Silas_1_1,Silas_1,Silas,1,39946,
ACT 16:30__NA,ACT 16:30,NA,NA,NA,,39947,
ACT 16:31__YHVH_1_153,ACT 16:31,YHVH_1_153,YHVH_1,Lord Jesus,1,39948,
ACT 16:32__YHVH_1_11,ACT 16:32,YHVH_1_11,YHVH_1,Lord,1,39949,
ACT 16:33__NA,ACT 16:33,NA,NA,NA,,39950,
ACT 16:34__YHVH_1_1,ACT 16:34,YHVH_1_1,YHVH_1,G-d,1,39951,
ACT 16:35__NA,ACT 16:35,NA,NA,NA,,39952,
ACT 16:36__Saul_2_2,ACT 16:36,Saul_2_2,Saul_2,Paul,1,39953,
ACT 16:37__Saul_2_2,ACT 16:37,Saul_2_2,Saul_2,Paul,1,39954,
ACT 16:38__NA,ACT 16:38,NA,NA,NA,,39955,
ACT 16:39__NA,ACT 16:39,NA,NA,NA,,39956,
ACT 16:40__Lydia_1_1,ACT 16:40,Lydia_1_1,Lydia_1,Lydia,1,39957,
ACT 17:1__NA,ACT 17:1,NA,NA,NA,,39958,
ACT 17:2__Saul_2_2,ACT 17:2,Saul_2_2,Saul_2,Paul,1,39959,
ACT 17:3__YHVH_1_140,ACT 17:3,YHVH_1_140,YHVH_1,Christ,2,39960,
ACT 17:3__YHVH_1_123,ACT 17:3,YHVH_1_123,YHVH_1,Jesus,1,39961,
ACT 17:4__Saul_2_2,ACT 17:4,Saul_2_2,Saul_2,Paul,1,39962,
ACT 17:4__Silas_1_1,ACT 17:4,Silas_1_1,Silas_1,Silas,1,39963,
ACT 17:4__YHVH_1_1,ACT 17:4,YHVH_1_1,YHVH_1,G-d,1,39964,G-d-fearing Greeks
ACT 17:5__Jason_1_1,ACT 17:5,Jason_1_1,Jason_1,Jason,1,39965,
ACT 17:6__Jason_1_1,ACT 17:6,Jason_1_1,Jason_1,Jason,1,39966,
ACT 17:7__Jason_1_1,ACT 17:7,Jason_1_1,Jason_1,Jason,1,39967,
ACT 17:7__Claudius_1_2,ACT 17:7,Claudius_1_2,Claudius_1,Caesar,1,39968,
ACT 17:7__YHVH_1_123,ACT 17:7,YHVH_1_123,YHVH_1,Jesus,1,39969,
ACT 17:8__NA,ACT 17:8,NA,NA,NA,,39970,
ACT 17:9__Jason_1_1,ACT 17:9,Jason_1_1,Jason_1,Jason,1,39971,
ACT 17:10__Saul_2_2,ACT 17:10,Saul_2_2,Saul_2,Paul,1,39972,
ACT 17:10__Silas_1_1,ACT 17:10,Silas_1_1,Silas_1,Silas,1,39973,
ACT 17:11__NA,ACT 17:11,NA,NA,NA,,39974,
ACT 17:12__NA,ACT 17:12,NA,NA,NA,,39975,
ACT 17:13__YHVH_1_1,ACT 17:13,YHVH_1_1,YHVH_1,G-d,1,39976,the word of G-d
ACT 17:13__Saul_2_2,ACT 17:13,Saul_2_2,Saul_2,Paul,1,39977,
ACT 17:14__Saul_2_2,ACT 17:14,Saul_2_2,Saul_2,Paul,1,39978,
ACT 17:14__Silas_1_1,ACT 17:14,Silas_1_1,Silas_1,Silas,1,39979,
ACT 17:14__Timothy_1_1,ACT 17:14,Timothy_1_1,Timothy_1,Timothy,1,39980,
ACT 17:15__Saul_2_2,ACT 17:15,Saul_2_2,Saul_2,Paul,1,39981,
ACT 17:15__Silas_1_1,ACT 17:15,Silas_1_1,Silas_1,Silas,1,39982,
ACT 17:15__Timothy_1_1,ACT 17:15,Timothy_1_1,Timothy_1,Timothy,1,39983,
ACT 17:16__Saul_2_2,ACT 17:16,Saul_2_2,Saul_2,Paul,1,39984,
ACT 17:17__YHVH_1_1,ACT 17:17,YHVH_1_1,YHVH_1,G-d,1,39985,G-d-fearing Gentiles
ACT 17:18__YHVH_1_123,ACT 17:18,YHVH_1_123,YHVH_1,Jesus,1,39986,
ACT 17:19__NA,ACT 17:19,NA,NA,NA,,39987,
ACT 17:20__NA,ACT 17:20,NA,NA,NA,,39988,
ACT 17:21__NA,ACT 17:21,NA,NA,NA,,39989,
ACT 17:22__Saul_2_2,ACT 17:22,Saul_2_2,Saul_2,Paul,1,39990,
ACT 17:23__NA,ACT 17:23,NA,NA,NA,,39991,
ACT 17:24__YHVH_1_1,ACT 17:24,YHVH_1_1,YHVH_1,G-d,1,39992,
ACT 17:24__YHVH_2_3,ACT 17:24,YHVH_2_3,YHVH_2,Lord of heaven and earth,1,39993,
ACT 17:25__NA,ACT 17:25,NA,NA,NA,,39994,
ACT 17:26__NA,ACT 17:26,NA,NA,NA,,39995,
ACT 17:27__YHVH_1_1,ACT 17:27,YHVH_1_1,YHVH_1,G-d,1,39996,
ACT 17:28__NA,ACT 17:28,NA,NA,NA,,39997,
ACT 17:29__YHVH_1_1,ACT 17:29,YHVH_1_1,YHVH_1,G-d,1,39998,children of G-d
ACT 17:30__YHVH_1_1,ACT 17:30,YHVH_1_1,YHVH_1,G-d,1,39999,
ACT 17:31__NA,ACT 17:31,NA,NA,NA,,40000,
ACT 17:32__NA,ACT 17:32,NA,NA,NA,,40001,
ACT 17:33__Saul_2_2,ACT 17:33,Saul_2_2,Saul_2,Paul,1,40002,
ACT 17:34__Dionysius_1_1,ACT 17:34,Dionysius_1_1,Dionysius_1,Dionysius,1,40003,
ACT 17:34__Damaris_1_1,ACT 17:34,Damaris_1_1,Damaris_1,Damaris,1,40004,
ACT 18:1__NA,ACT 18:1,NA,NA,NA,,40005,
ACT 18:2__Aquila_1_1,ACT 18:2,Aquila_1_1,Aquila_1,Aquila,1,40006,
ACT 18:2__Priscilla_1_1,ACT 18:2,Priscilla_1_1,Priscilla_1,Priscilla,1,40007,
ACT 18:2__Claudius_1_1,ACT 18:2,Claudius_1_1,Claudius_1,Claudius,1,40008,
ACT 18:3__NA,ACT 18:3,NA,NA,NA,,40009,
ACT 18:4__NA,ACT 18:4,NA,NA,NA,,40010,
ACT 18:5__Silas_1_1,ACT 18:5,Silas_1_1,Silas_1,Silas,1,40011,
ACT 18:5__Timothy_1_1,ACT 18:5,Timothy_1_1,Timothy_1,Timothy,1,40012,
ACT 18:5__Saul_2_2,ACT 18:5,Saul_2_2,Saul_2,Paul,1,40013,
ACT 18:5__YHVH_1_123,ACT 18:5,YHVH_1_123,YHVH_1,Jesus,1,40014,
ACT 18:5__YHVH_1_140,ACT 18:5,YHVH_1_140,YHVH_1,Christ,1,40015,the Christ
ACT 18:6__NA,ACT 18:6,NA,NA,NA,,40016,
ACT 18:7__Titius_1_1,ACT 18:7,Titius_1_1,Titius_1,Titius Justus,1,40017,
ACT 18:7__YHVH_1_1,ACT 18:7,YHVH_1_1,YHVH_1,G-d,1,40018,
ACT 18:8__Crispus_1_1,ACT 18:8,Crispus_1_1,Crispus_1,Crispus,1,40019,
ACT 18:8__YHVH_1_11,ACT 18:8,YHVH_1_11,YHVH_1,Lord,1,40020,
ACT 18:9__YHVH_1_11,ACT 18:9,YHVH_1_11,YHVH_1,Lord,1,40021,
ACT 18:9__Saul_2_2,ACT 18:9,Saul_2_2,Saul_2,Paul,1,40022,
ACT 18:10__NA,ACT 18:10,NA,NA,NA,,40023,
ACT 18:11__YHVH_1_1,ACT 18:11,YHVH_1_1,YHVH_1,G-d,1,40024,the word of G-d
ACT 18:12__Gallio_1_1,ACT 18:12,Gallio_1_1,Gallio_1,Gallio,1,40025,
ACT 18:12__Saul_2_2,ACT 18:12,Saul_2_2,Saul_2,Paul,1,40026,
ACT 18:13__YHVH_1_1,ACT 18:13,YHVH_1_1,YHVH_1,G-d,1,40027,
ACT 18:14__Saul_2_2,ACT 18:14,Saul_2_2,Saul_2,Paul,1,40028,
ACT 18:14__Gallio_1_1,ACT 18:14,Gallio_1_1,Gallio_1,Gallio,1,40029,
ACT 18:15__NA,ACT 18:15,NA,NA,NA,,40030,
ACT 18:16__NA,ACT 18:16,NA,NA,NA,,40031,
ACT 18:17__Crispus_1_2,ACT 18:17,Crispus_1_2,Crispus_1,Sosthenes,1,40032,
ACT 18:17__Gallio_1_1,ACT 18:17,Gallio_1_1,Gallio_1,Gallio,1,40033,
ACT 18:18__Saul_2_2,ACT 18:18,Saul_2_2,Saul_2,Paul,1,40034,
ACT 18:18__Priscilla_1_1,ACT 18:18,Priscilla_1_1,Priscilla_1,Priscilla,1,40035,
ACT 18:18__Aquila_1_1,ACT 18:18,Aquila_1_1,Aquila_1,Aquila,1,40036,
ACT 18:19__NA,ACT 18:19,NA,NA,NA,,40037,
ACT 18:20__NA,ACT 18:20,NA,NA,NA,,40038,
ACT 18:21__YHVH_1_1,ACT 18:21,YHVH_1_1,YHVH_1,G-d,1,40039,
ACT 18:22__NA,ACT 18:22,NA,NA,NA,,40040,
ACT 18:23__NA,ACT 18:23,NA,NA,NA,,40041,
ACT 18:24__Apollos_1_1,ACT 18:24,Apollos_1_1,Apollos_1,Apollos,1,40042,
ACT 18:25__YHVH_1_11,ACT 18:25,YHVH_1_11,YHVH_1,Lord,1,40043,the way of the Lord
ACT 18:25__YHVH_1_123,ACT 18:25,YHVH_1_123,YHVH_1,Jesus,1,40044,
ACT 18:25__John_1_1,ACT 18:25,John_1_1,John_1,John,1,40045,baptism of John
ACT 18:26__Priscilla_1_1,ACT 18:26,Priscilla_1_1,Priscilla_1,Priscilla,1,40046,
ACT 18:26__Aquila_1_1,ACT 18:26,Aquila_1_1,Aquila_1,Aquila,1,40047,
ACT 18:26__YHVH_1_1,ACT 18:26,YHVH_1_1,YHVH_1,G-d,1,40048,the way of G-d
