place_label_id,place_id,english_label,hebrew_label,hebrew_label_transliterated,hebrew_label_meaning,hebrew_strongs_number,greek_label,greek_label_transliterated,greek_label_meaning,greek_strongs_number,label_reference_id,label_type,open_bible_id,label-given_by_god,label_notes,place_label_count,label_sequence
Calneh_1_1,Calneh_1,Calneh,כַּלְנֵה,kaləneh,all of them,H3641,Χαλαννη,Xalannē,,none,GEN 10:10,proper name,aee80af,,,1,28
Shinar_1_1,Shinar_1,Shinar,שִׁנְעָר,shinəar,Shinar = Babylonia,H8152,Σεννααρ,Sennaar,,none,GEN 10:10,proper name,af725b1,,,1,29
Nineveh_1_1,Nineveh_1,Nineveh,נִינְוֵה,niynəva,,H5210,Νινευη,Nineuē,,none,GEN 10:11,proper name,a70fd5d,,,1,30
Rehoboth-Ir_1_1,Rehoboth-Ir_1,Rehoboth-Ir,רְחֹבֹת עִיר,rəchovot iyr,streets of [the] city or spacious city,"H7344, H5892",Ροωβωθ πόλιν,Roōbōth pólin,[transliteration] city,"none, G4172",GEN 10:11,proper name,a260ff1,,,1,31
Calah_1_1,Calah_1,Calah,כֶּלַח,kelach,"strength, vigor",H3625,Χαλαχ,Xalax,,none,GEN 10:11,proper name,ae1f807,,,1,32
Resen_1_1,Resen_1,Resen,רֶסֶן,resen,bridle,H7449,Δασεμ,Dasem,,none,GEN 10:12,proper name,abd8ada,,Greek contains scribal errors (?) mistaking ד (d) for ר (r) and ם(m) for ן(n) in the Hebrew.,1,33
Sidon_1_1,Sidon_1,Sidon,צִידוֹן,tsiydon,fishery,H6721,Σιδών,Sidṓn,,G4605,GEN 10:19,proper name,a98e4d7,,,1,34
Gerar_1_1,Gerar_1,Gerar,גְּרָר,gərar,"circle, region",H1642,Γεραρα,Gerara,,none,GEN 10:19,proper name,a3f5814,,,1,35
Gaza_1_1,Gaza_1,Gaza,עַזָּה,azah,strong,H5804,Γάζα,Gáza,,G1048,GEN 10:19,proper name,aa8edd2,,,1,36
Sodom_1_1,Sodom_1,Sodom,סְדֹם,sədom,,H5467,Σόδομα,Sódoma,,G4670,GEN 10:19,proper name,a0aa664,,,1,37
