place_id,place_name,place_type,modern_equivalent,place_notes,openbible_id,openbible_url,name_instance,place_sequence
Hebron_1,Hebron,settlement,Tel Rumeida,First mention: GEN 13:18,a85151a,https://www.openbible.info/geo/ancient/a85151a/hebron,1,52
Elam_1,Elam,geographic region,Southern Iran near the Persian Gulf,First mention: GEN 14:1. Susa was the onetime capital (openbible.info),a7e3a59,https://www.openbible.info/geo/ancient/a7e3a59/elam,1,53
Valley of Siddim_1,Valley of Siddim,geographic region,valley south of the Dead Sea,First mention: GEN 14:3,a4a5cce,https://www.openbible.info/geo/ancient/a4a5cce/valley-of-siddim,1,54
Salt Sea_1,Salt Sea,body of water,Dead Sea,First mention: GEN 14:3,abed304,https://www.openbible.info/geo/ancient/abed304/salt-sea,1,55
Ashteroth-karnaim_1,Ashteroth-karnaim,settlement,Tell Ashtara,First mention: GEN 14:5,afe4be0,https://www.openbible.info/geo/ancient/afe4be0/ashteroth-karnaim,1,56
Ham_1,Ham,settlement,Tell Ham,First mention: GEN 14:5,a7a5f29,https://www.openbible.info/geo/ancient/a7a5f29/ham-1,1,57
Shaveh-kiriathaim_1,Shaveh-kiriathaim,geographic region,near Khirbet al Mukhayyat,First mention: GEN 14:5,a86d49f,https://www.openbible.info/geo/ancient/a86d49f/shaveh-kiriathaim,1,58
Mount Seir_1,Mount Seir,mountain range,region around Jebel esh Shera,First mention: GEN 14:6,ae981db,https://www.openbible.info/geo/ancient/ae981db/mount-seir-1,1,59
El-paran_1,El-paran,settlement,Aqaba,First mention: GEN 14:6,a738bf1,https://www.openbible.info/geo/ancient/a738bf1/el-paran,1,60
Kadesh_1,Kadesh,settlement,Ain el Qudeirat,First mention: GEN 14:7,ac2cef0,https://www.openbible.info/geo/ancient/ac2cef0/kadesh-barnea,1,61
Hazazon-tamar_1,Hazazon-tamar,settlement,En Hazeva,First mention: GEN 14:7,a4d6a38,https://www.openbible.info/geo/ancient/a4d6a38/hazazon-tamar-1,1,62
Dan_1,Dan,settlement,Tel Dan,First mention: GEN 14:14,a513646,https://www.openbible.info/geo/ancient/a513646/dan,1,63
Hobah_1,Hobah,settlement,Hoba or possibly Upu,First mention: GEN 14:15,a6779cd,https://www.openbible.info/geo/ancient/a6779cd/hobah,1,64
Damascus_1,Damascus,settlement,Damascus,First mention: GEN 14:15,a69c1d4,https://www.openbible.info/geo/ancient/a69c1d4/damascus,1,65
