person_label_id,person_id,english_label,hebrew_label,hebrew_label_transliterated,hebrew_label_meaning,hebrew_strongs_number,greek_label,greek_label_transliterated,greek_label_meaning,greek_strongs_number,label_reference_id,label_type,label-given_by_god,label_notes,person_label_count,label_sequence
Shimei_6_1,Shimei_6,Shimei,שִׁמְעִי,shiməiy,Yahweh has heard' or 'famous',H8096,Σεμεϊ,Semeï,,none,1CH 5:4,proper name,,,1,1530
Micah_2_1,Micah_2,Micah,מִיכָה,miykhah,Who is like Yahweh?,H4318,Μιχα,Mixa,,none,1CH 5:5,proper name,,,1,1531
Reaiah_2_1,Reaiah_2,Reaiah,רְאָיָה,rəayah,Yahweh has seen,H7211,Ρηχα,Rēxa,,none,1CH 5:5,proper name,,,1,1532
Baal_1_1,Baal_1,Baal,בַּעַל,baal,"master, owner, lord",H1168,Βααλ,Baal,,G955,1CH 5:5,proper name,,,1,1533
Beerah_1_1,Beerah_1,Beerah,בְּאֵרָה,bəerah,"cistern, well",H880,Βεηρα,Beēra,,none,1CH 5:6,proper name,,,1,1534
Tiglath-pileser_1_3,Tiglath-pileser_1,Tilgath-pilneser,תִּלְּגַ֥ת פִּלְנְאֶ֖סֶר,tiləgat pilənəeser,my trust is in the son of [the temple] Esharra,H8407,Θαγλαθφαλνασαρ,Thaglathphalnasar,,none,1CH 5:6,proper name,,Scribal error?,3,1535
Jeiel_1_1,Jeiel_1,Jeiel,יְעִיאֵל,yəiyel,G-d [El] has preserved,H3273,Ιωηλ,Iōēl,,G2493,1CH 5:7,proper name,,,1,1536
Zechariah_3_1,Zechariah_3,Zechariah,זְכַרְיָהוּ,zəkharəyahu,Yahweh remembers,H2148,Ζαχαρια,Zaxaria,,none,1CH 5:7,proper name,,,1,1537
Bela_3_1,Bela_3,Bela,בֶּ֖לַע,bela,"swallower, devourer",H1106a,Βαλεκ,Balek,,none,1CH 5:7,proper name,,,1,1538
Azaz_1_1,Azaz_1,Azaz,עָזָז,azaz,strong,H5811,Οζουζ,Ozouz,,none,1CH 5:7,proper name,,,1,1539
Shema_2_1,Shema_2,Shema,שֶׁמַע,shema,he hears,H8087,Σαμα,Sama,,none,1CH 5:7,proper name,,,1,1540
Joel_4_1,Joel_4,Joel,יוֹאֵ֔ל,yoel,Yahweh is G-d [El],H3100,Ιωηλ,Iōēl,,G2493,1CH 5:12,proper name,,,1,1541
Shapham_1_1,Shapham_1,Shapham,שָׁפָם,shafam,,H8223,Σαφαμ,Sapham,,none,1CH 5:12,proper name,,,1,1542
Janai_1_1,Janai_1,Janai,יַעְנַי,yaənay,he will answer,H3285,Ιανι,Iani,,none,1CH 5:12,proper name,,,1,1543
Shaphat_4_1,Shaphat_4,Shaphat,שָׁפָט,shafat,he judges,H8202,[none],,,,1CH 5:12,proper name,,"This name is not present in the equivalent passage in Rahlfs' Septuaginta.  Instead a description of Janai is given as γραμματεὺς (a ""scribe""), perhaps a mistranslation of Shaphat as sopher סופר?",1,1544
Michael_2_1,Michael_2,Michael,מִיכָאֵֽל,miykael,Who is like G-d [El]?,H4317,Μιχαηλ,Mixaēl,,G3413,1CH 5:13,proper name,,,1,1545
Meshullam_3_1,Meshullam_3,Meshullam,מְשֻׁלָּם,məshulam,restitution,H4918,Μοσολλαμ,Mosollam,,none,1CH 5:13,proper name,,,1,1546
Sheba_5_1,Sheba_5,Sheba,שֶׁבַע,sheva,seven or oath,H7652,Σεβεε,Sebee,,none,1CH 5:13,proper name,,,1,1547
Jorai_1_1,Jorai_1,Jorai,יוֹרַי,yoray,[poss.] Yahweh sees; whom Yahweh teaches,H3140,Ιωρεε,Iōree,,none,1CH 5:13,proper name,,,1,1548
Jacan_1_1,Jacan_1,Jacan,יַעְכָּן,yaəkan,,H3275,Ιαχαν,Iaxan,,none,1CH 5:13,proper name,,,1,1549
Zia_1_1,Zia_1,Zia,זִיעַ,ziya,[poss.] trembler,H2127,Ζουε,Zoue,,none,1CH 5:13,proper name,,,1,1550
Eber_2_1,Eber_2,Eber,עֵבֶר,ever,[regions] beyond [the river],H5677,Ωβηδ,Ōbēd,,none,1CH 5:13,proper name,,,1,1551
Abihail_3_1,Abihail_3,Abihail,אֲבִיחָ֑יִל,aviychayil,[my] father has strength/wealth or cause of strength/wealth,H32,Αβιχαιλ,Abixail,,none,1CH 5:14,proper name,,,1,1552
Huri_1_1,Huri_1,Huri,חוּרִי,churiy,linen weaver,H2359,Ουρι,Ouri,,none,1CH 5:14,proper name,,,1,1553
Jaroah_1_1,Jaroah_1,Jaroah,יָרוֹחַ,yaroach,"soft, delicate",H3386,Ιδαι,Idai,,none,1CH 5:14,proper name,,,1,1554
Gilead_3_1,Gilead_3,Gilead,גִּלְעָ֑ד,giləad,[perhaps] monument of stones,H1568,Γαλααδ,Galaad,,none,1CH 5:14,proper name,,,1,1555
Jeshishai_1_1,Jeshishai_1,Jeshishai,יְשִׁישַׁי,yəshiyshay,aged,H3454,Ισαι,Isai,,none,1CH 5:14,proper name,,,1,1556
Jahdo_1_1,Jahdo_1,Jahdo,יַחְדּוֹ,yachdo,[G-d] gives joy,H3163,Ιουρι,Iouri,,none,1CH 5:14,proper name,,,1,1557
Buz_2_1,Buz_2,Buz,בּוּז,buz,contempt,H938,Ζαβουχαμ,Zabouxam,,none,1CH 5:15,proper name,,,1,1558
Ahi_1_1,Ahi_1,Ahi,אֲחִי,achiy,"my brother, [poss.] Yahweh is [my] brother",H277,[none],,,,1CH 5:15,proper name,,This name is not present in the equivalent passage in Rahlfs' Septuaginta.,1,1559
Abdiel_1_1,Abdiel_1,Abdiel,עַבְדִּיאֵל,avədiyel,servant of G-d [El],H5661,Αβδιηλ,Abdiēl,,none,1CH 5:15,proper name,,,1,1560
Guni_2_1,Guni_2,Guni,גּוּנִי,guniy,spotted sand grouse,H1476,Γουνι,Gouni,,none,1CH 5:15,proper name,,,1,1561
Epher_3_1,Epher_3,Epher,עֵפֶר,efer,[small] gazelle,H6081,Οφερ,Opher,,none,1CH 5:24,proper name,,,1,1562
Ishi_3_1,Ishi_3,Ishi,יִשְׁעִי,yishəiy,G-d has saved,H3469,Ισεϊ,Iseï,,none,1CH 5:24,proper name,,,1,1563
Eliel_1_1,Eliel_1,Eliel,אֱלִיאֵל,eliyel,G-d [El] is [my] G-d,H447,Ελιηλ,Eliēl,,none,1CH 5:24,proper name,,,1,1564
Azriel_1_1,Azriel_1,Azriel,עַזְרִיאֵל,azəriyel,G-d [El] is [my] help,H5837,Εσδριηλ,Esdriēl,,none,1CH 5:24,proper name,,,1,1565
Jeremiah_2_1,Jeremiah_2,Jeremiah,יִרְמְיָה,yirəmyah,"Yahweh loosens [the womb]; Yahweh lifts up; [poss.] Yahweh shoots, establishes",H3414,Ιερμια,Iermia,,none,1CH 5:24,proper name,,,1,1566
Hodaviah_2_1,Hodaviah_2,Hodaviah,הוֹדַוְיָה,hodavəyah,give thanks to Yahweh,H1938,Ωδουια,Ōdouia,,none,1CH 5:24,proper name,,,1,1567
Jahdiel_1_1,Jahdiel_1,Jahdiel,יַחְדִּיאֵל,yachədiyel,G-d [El] gives joy,H3164,Ιεδιηλ,Iediēl,,none,1CH 5:24,proper name,,,1,1568
Abishua_1_1,Abishua_1,Abishua,אֲבִישׁוּעַ,aviyshua,[my] father is salvation,H50,Αβισου,Abisou,,none,1CH 6:4,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 5:30,1,1569
Bukki_2_1,Bukki_2,Bukki,בֻּקִּי,buqiy,proved of Yahweh; mouth [gurgle sounds] of Yahweh,H1231,Βωκαι,Bōkai,,none,1CH 6:5,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 5:31,1,1570
Uzzi_1_1,Uzzi_1,Uzzi,עֻזִּי,uziy,Yahweh is [my] strength,H5813,Οζι,Ozi,,none,1CH 6:5,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 5:31,1,1571
Zerahiah_1_1,Zerahiah_1,Zerahiah,זְרַחְיָה,zərachəyah,Yahweh shines brightly [red or scarlet]; Yahweh has risen [like the sun],H2228,Ζαραια,Zaraia,,none,1CH 6:6,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 5:32,1,1572
Meraioth_1_1,Meraioth_1,Meraioth,מְרָיוֹת,mərayiot,rebellious,H4812,Μαριηλ,Mariēl,,none,1CH 6:6,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 5:32,1,1573
Amariah_1_1,Amariah_1,Amariah,אֲמַרְיָה,amarəyah,Yahweh has said,H568,Αμαρια,Amaria,,none,1CH 6:7,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 5:33,1,1574
Azariah_6_1,Azariah_6,Azariah,עֲזַרְיָה,azarəyah,Yahweh has helped,H5838,Αζαρια,Azaria,,none,1CH 6:9,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 5:35,1,1575
Johanan_3_1,Johanan_3,Johanan,יוֹחָנָן,yochanan,Yahweh is gracious,H3110,Ιωαναν,Iōanan,,none,1CH 6:9,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 5:35,1,1576
Amariah_2_1,Amariah_2,Amariah,אֲמַרְיָה,amarəyah,Yahweh has said,H568,Αμαρια,Amaria,,none,1CH 6:11,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 5:37,1,1577
Ahitub_3_1,Ahitub_3,Ahitub,אֲחִיטוּב,achiytuv,[my] brother is goodness,H285,Αχιτωβ,Axitōb,,none,1CH 6:11,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 5:37,1,1578
