person_label_id,person_id,english_label,hebrew_label,hebrew_label_transliterated,hebrew_label_meaning,hebrew_strongs_number,greek_label,greek_label_transliterated,greek_label_meaning,greek_strongs_number,label_reference_id,label_type,label-given_by_god,label_notes,person_label_count,label_sequence
G-d_1_1,G-d_1,G-d,אֱלֹהִים,elohiym,"rulers, judges, divine ones, or The Divine One",H430,θεός,THeos,a deity or The Deity,G2316,GEN 1:1,title,Y,,1,1
G-d_1_2,G-d_1,LORD G-d,יְהוָה אֱלֹהִים,y-h-v-h elohiym,[special name of G-d] god [plural],H3068 H430,θεὸς,THeos,a deity or The Deity,G2316,GEN 2:4,title,Y,,2,2
Adam_1_1,Adam_1,Adam,אדם,adam,"man, mankind",H121,Ἀδάμ,Adam,,G76,GEN 2:20,proper name,Y,,1,3
Eve_1_1,Eve_1,Eve,חַוָּה,chavah,living one,H2332,ζωή,Zōē,"life, living existence",G2222,GEN 3:20,proper name,,,1,4
Cain_1_1,Cain_1,Cain,קַיִן,qayin,"brought forth, acquired",H7014,Κάϊν,Kain,,G2535,GEN 4:1,proper name,,,1,5
G-d_1_3,G-d_1,LORD,יהוה,y-h-v-h,[the proper name of the one true G-d],H3068,θεοῦ,THeou,a deity or The Deity,G2316,GEN 4:1,proper name,Y,,3,6
Abel_1_1,Abel_1,Abel,הָבַל,hevel,morning mist,H1893,Ἅβελ,Abel,,G6,GEN 4:2,proper name,,,1,7
Enoch_1_1,Enoch_1,Enoch,חֲנוֹךְ,chanok,initiated; follower,H2585,Ενωχ,Enōx,,G1802,GEN 4:17,proper name,,,1,8
Irad_1_1,Irad_1,Irad,עִירָד,iyrad,fugitive,H5897,Γαιδαδ,Gaidad,,none,GEN 4:18,proper name,,,1,9
Mehujael_1_1,Mehujael_1,Mehujael,מְחוּיָאֵל,mehuyael,smitten by G-d,H4232,Μαιηλ,Maiēl,,none,GEN 4:18,proper name,,,1,10
Methushael_1_1,Methushael_1,Methushael,מְתוּשָׁאֵל,methushael,man of G-d,H4967,Μαθουσαλα,Mathousala,,none,GEN 4:18,proper name,,,1,11
Lamech_1_1,Lamech_1,Lamech,לֶמֶךְ,lemek,,H3929,Λάμεχ,Lamex,,G2984,GEN 4:18,proper name,,,1,12
Adah_1_1,Adah_1,Adah,עָדָה,adah,adornment,H5711,Αδα,Ada,,none,GEN 4:19,proper name,,,1,13
Zillah_1_1,Zillah_1,Zillah,צִלָּה,tsilah,"[G-d is my] shadow, i.e., protection",H6741,Σελλα,Silla,,none,GEN 4:19,proper name,,,1,14
Jabal_1_1,Jabal_1,Jabal,יָבָל,yaval,,H2989,Ιωβελ,Iobel,,none,GEN 4:20,proper name,,,1,15
Jubal_1_1,Jubal_1,Jubal,יוּבַל,yuval,,H3106,Ιουβαλ,Ioubal,,none,GEN 4:21,proper name,,,1,16
Tubal-cain_1_1,Tubal-cain_1,Tubal-cain,תּ֣וּבַל קַ֔יִן,tuval qayin,,H8423,Θοβελ,THobel,,none,GEN 4:22,proper name,,,1,17
Naamah_1_1,Naamah_1,Naamah,נַעֲמָה,naamah,pleasant,H5279,Νοεμα,Noema,,none,GEN 4:22,proper name,,,1,18
Seth_1_1,Seth_1,Seth,שֵׁת,shet,"determined, granted, Ge 4:25; restitution",H8352,Σηθ,Seth,,G4589,GEN 4:25,proper name,,,1,19
Enosh_1_1,Enosh_1,Enosh,אֱנ֑וֹשׁ,enosh,[mortal] man,H583,Ενως,Enos,,G1800,GEN 4:26,proper name,,,1,20
Kenan_1_1,Kenan_1,Kenan,קֵינָֽן,qeynan,,H7018,Καιναν,Kainan,,G2536,GEN 5:10,proper name,,,1,21
Mahalalel_1_1,Mahalalel_1,Mahalalel,מַֽהֲלַלְאֵ֔ל,mahalalel,praise of G-d [El],H4111,Μαλελεήλ,Malele'el,,G3121,GEN 5:13,proper name,,,1,22
Jared_1_1,Jared_1,Jared,יֶרֶד,yered,rose; servant,H3382,Ιαρεδ,Iared,,G2391,GEN 5:15,proper name,,,1,23
Enoch_2_1,Enoch_2,Enoch,חֲנוֹךְ,chanok,initiated; follower,H2585,Ενωχ,Henox,,G1802,GEN 5:19,proper name,,,1,24
Methuselah_1_1,Methuselah_1,Methuselah,מְתוּשֶׁ֔לַח,mətuselah,man of the javelin,H4968,Μαθουσαλα,Mathousala,,G3103,GEN 5:21,proper name,,,1,25
Lamech_2_1,Lamech_2,Lamech,לֶמֶךְ,lemek,,H3929,Λαμεχ,Lamex,,G2984,GEN 5:25,proper name,,,1,26
Noah_1_1,Noah_1,Noah,נֹ֖חַ,noach,"rest, comfort",H5146,Νωε,Noe,,G3575,GEN 5:29,proper name,,,1,27
Shem_1_1,Shem_1,Shem,שֵׁ֖ם,shem,"name, fame",H8035,Σημ,Sem,,G4590,GEN 5:32,proper name,,,1,28
Ham_1_1,Ham_1,Ham,חָם,cham,,H2526,Χαμ,Xam,,none,GEN 5:32,proper name,,,1,29
Japheth_1_1,Japheth_1,Japheth,יָֽפֶת,yefet,enlarge,H3315,Ιαφεθ,Iapheth,,none,GEN 5:32,proper name,,,1,30
Canaan_1_1,Canaan_1,Canaan,כְנָֽעַן,kənaan,"merchant, trader",H3667,Χανααν,Xanaan,,G5477,GEN 9:18,proper name,,,1,31
G-d_1_4,G-d_1,G-d of Shem,אֱלֹהֵי שֵׁם,elohey shem,god of Shem,"H430, H8035",θεὸς τοῦ Σημ,theòs toû Sēm,,"G2316, G3588, G4590",GEN 9:26,title,Y,,4,32
Gomer_1_1,Gomer_1,Gomer,גֹּ֣מֶר,gomer,complete,H1586,Γαμερ,Gamer,,none,GEN 10:2,proper name,,,1,33
Magog_1_1,Magog_1,Magog,מָג֔וֹג,magog,,H4031,Μαγωγ,Magog,,G3098,GEN 10:2,proper name,,,1,34
Madai_1_1,Madai_1,Madai,מָדַ֖י,madai,,H4074,Μαδαι,Madai,,none,GEN 10:2,proper name,,,1,35
Javan_1_1,Javan_1,Javan,יָוָ֣ן,yavan,,H3120,Ιωυαν,Ioyan,,none,GEN 10:2,proper name,,,1,36
Tubal_1_1,Tubal_1,Tubal,תֻבָ֑ל,tuval,,H8422,Θοβελ,THobel,,none,GEN 10:2,proper name,,,1,37
Meshech_1_1,Meshech_1,Meshech,מֶשֶׁךְ,meshek,,H4902,Μοσοχ,Moshox,,none,GEN 10:2,proper name,,,1,38
Tiras_1_1,Tiras_1,Tiras,תִּירָס,tiras,,H8494,Θιρας,THiras,,none,GEN 10:2,proper name,,,1,39
Ashkenaz_1_1,Ashkenaz_1,Ashkenaz,אַשְׁכֲּנַ֥ז,ashəkenaz,,H813,Ασχαναζ,Asxanaz,,none,GEN 10:3,proper name,,,1,40
Riphath_1_1,Riphath_1,Riphath,רִיפַת,rifat,,H7384,Ριφαθ,Riphath,,none,GEN 10:3,proper name,,In 1CH 1:5 Hebrew is דִּיפַת [diyfat] Diphath but the Greek remains Ριφαθ Riphath,1,41
Togarmah_1_1,Togarmah_1,Togarmah,תּוֹגַרְמָה,togarəmah,,H8425,Θοργαμα,THorgama,,none,GEN 10:3,proper name,,,1,42
Elishah_1_1,Elishah_1,Elishah,אֱלִישָׁ֣ה,elishah,G-d [El] saves,H473,Ελισα,Elisa,,none,GEN 10:4,proper name,,,1,43
Tarshish_1_1,Tarshish_1,Tarshish,תַּרְשִׁישׁ,tarəshiysh,"[poss.] yellow jasper; [poss.] greedy one; foundry, refinery",H8659,Θαρσις,THarsis,,none,GEN 10:4,proper name,,,1,44
Kittim_1_1,Kittim_1,Kittim,כִּתִּ֖ים,kitiym,,H3794,Κίτιοι,Kitioi,,none,GEN 10:4,proper name,,,1,45
Dodanim_1_1,Dodanim_1,Dodanim,דֹּדָנִים,dodaniym,,H1721,Ῥόδιοι,RHodioi,,none,GEN 10:4,proper name,,"Greek contains scribal error mistaking ד (d) for ר (r) in the Hebrew. In 1CH 1:7, Hebrew is רוֹדָנִֽים Rodanim.",1,46
Cush_1_1,Cush_1,Cush,כּ֥וּשׁ,kush,,H3568,Χους,Xous,,G5522,GEN 10:6,proper name,,,1,47
Mizraim_1_1,Mizraim_1,Mizraim,מִצְרַיִם,mitsərayim,,H4714,Μεσραιμ,Mesraim,,none,GEN 10:6,proper name,,,1,48
Put_1_1,Put_1,Put,פּוּט,put,,H6316,Φουδ,PHoud,,none,GEN 10:6,proper name,,,1,49
Seba_1_1,Seba_1,Seba,סְבָא֙,seva,,H5434,Σαβα,Saba,,none,GEN 10:7,proper name,,,1,50
Havilah_1_1,Havilah_1,Havilah,חֲוִילָה,chaviylah,,H2341,Ευιλα,Euila,,none,GEN 10:7,proper name,,,1,51
Sabtah_1_1,Sabtah_1,Sabtah,סַבְתָּא,savətah,,H5454,Σαβαθα,Sabatha,,none,GEN 10:7,proper name,,,1,52
Raamah_1_1,Raamah_1,Raamah,רַעְמָ֖ה,ramah,,H7484,Ρεγμα,Regma,,none,GEN 10:7,proper name,,Spelled Raama in 1CH 1:9,1,53
Sabteca_1_1,Sabteca_1,Sabteca,סַבְתְּכָא,savətəkha,,H5455,Σαβακαθα,Sabakatha,,none,GEN 10:7,proper name,,,1,54
Sheba_1_1,Sheba_1,Sheba,שְׁבָ֥א,shəva,oath or seven,H7652,Σαβα,Saba,,none,GEN 10:7,proper name,,,1,55
Dedan_1_1,Dedan_1,Dedan,דְּדָן,dədan,,H1719,Δαδαν,Dadan,,none,GEN 10:7,proper name,,,1,56
Nimrod_1_1,Nimrod_1,Nimrod,נִמְרֹ֑ד,nimərod,"[perhaps] to rebel or the Arrow, the mighty hero",H5248,Νεβρωδ,Nebrod,,none,GEN 10:8,proper name,,,1,57
Lud_1_1,Lud_1,Lud,לוּד,lud,,H3865,Λουδ,Loud,,none,GEN 10:13,proper name,,Edit: singularized the plural based on 1CH 1:11,1,58
Anam_1_1,Anam_1,Anam,עָנָם,anam,,H6047,Ενεμετιιμ,Enemetiim,,none,GEN 10:13,proper name,,Edit: singularized the plural based on 1CH 1:11,1,59
Lehab_1_1,Lehab_1,Lehab,לְהָבִ,ləhab,,H3853,Λαβιιμ,Labiim,,none,GEN 10:13,proper name,,Edit: singularized the plural based on 1CH 1:11,1,60
Naphtuh_1_1,Naphtuh_1,Naphtuh,נַפְתֻּח,nafətuch,,H5320,Νεφθαλιιμ,Nephthaliim,,none,GEN 10:13,proper name,,Edit: singularized the plural based on 1CH 1:11,1,61
Pathrus_1_1,Pathrus_1,Pathrus,פַּתְרֻס,pathrus,,H6625,Πατροσωνιιμ,Patrosoniim,,none,GEN 10:14,proper name,,Edit: singularized the plural based on 1CH 1:12,1,62
Casluh_1_1,Casluh_1,Casluh,כַּסְלֻח,kasluch,,H3695,Χασλωνιιμ,Xasloniim,,none,GEN 10:14,proper name,,Edit: singularized the plural based on 1CH 1:12,1,63
Caphtor_1_1,Caphtor_1,Caphtor,כַּפְתֹּר,kafətor,,H3732,Καφθοριιμ,Kaphthoriim,,none,GEN 10:14,proper name,,Edit: singularized the plural based on 1CH 1:12,1,64
Sidon_1_1,Sidon_1,Sidon,צִידֹ֥ן,tsiydon,,H6721,Σιδῶνα,Sidona,,G4605,GEN 10:15,proper name,,,1,65
Heth_1_1,Heth_1,Heth,חֵֽת,chet,,H2845,Χετταῖον,Xettaion,,none,GEN 10:15,proper name,,,1,66
Jebus_1_1,Jebus_1,Jebus,יְבוּס,yəbus,,H2982,Ιεβουσαῖον,Iebousaion,,none,GEN 10:16,proper name,,Edit: singularized the plural,1,67
Amor_1_1,Amor_1,Amor,אֱמֹר,amor,,H567,Αμορραῖον,Amorraion,,none,GEN 10:16,proper name,,Edit: singularized the plural,1,68
Girgash_1_1,Girgash_1,Girgash,גִּרְגָּשׁ,girgash,,H1622,Γεργεσαῖον,Gergesaion,,none,GEN 10:16,proper name,,Edit: singularized the plural,1,69
Hivi_1_1,Hivi_1,Hivi,חִוִּ֥,hivi,,H2340,Ευαῖον,Euaion,,none,GEN 10:17,proper name,,Edit: singularized the plural,1,70
Ark_1_1,Ark_1,Ark,עַרְק,areq,,H6208,Αρουκαῖον,Aroukaion,,none,GEN 10:17,proper name,,Edit: singularized the plural,1,71
Sini_1_1,Sini_1,Sini,סִּינִֽ,sini,,H5513,Ασενναῖον,Asennaion,,none,GEN 10:17,proper name,,Edit: singularized the plural,1,72
Arvad_1_1,Arvad_1,Arvad,אַרְוָד,arəvad,,H721,Ἀράδιον,Aradion,,none,GEN 10:18,proper name,,Edit: singularized the plural,1,73
Zemar_1_1,Zemar_1,Zemar,צְּמָר,tsəmar,,H6786,Σαμαραῖον,Samaraion,,none,GEN 10:18,proper name,,Edit: singularized the plural,1,74
Hamath_1_1,Hamath_1,Hamath,חֲמָת,chamat,,H2577,Αμαθι,Amathi,,none,GEN 10:18,proper name,,Edit: singularized the plural,1,75
Eber_1_1,Eber_1,Eber,עֵבֶר,ever,[regions] beyond [the river],H5677,Εβερ,Eber,,G1443,GEN 10:21,proper name,,English is sometimes Heber,1,76
Elam_1_1,Elam_1,Elam,עֵילָ֣ם,eylam,highland,H5867,Αιλαμ,Ailam,,none,GEN 10:22,proper name,,,1,77
Asshur_1_1,Asshur_1,Asshur,אַשּׁ֑וּר,ashur,,H804,Ασσουρ,Assour,,none,GEN 10:22,proper name,,,1,78
Arpachshad_1_1,Arpachshad_1,Arpachshad,אַרְפַּכְשַׁ֖ד,arəpachəshad,,H775,Αρφαξαδ,Arphaxad,,G742,GEN 10:22,proper name,,English is sometimes Arphaxad,1,79
Lud_2_1,Lud_2,Lud,לוּד,lud,,H3865,Λουδ,Loud,,none,GEN 10:22,proper name,,,1,80
Aram_1_1,Aram_1,Aram,אֲרָ֑ם,aram,,H758,Αραμ,Aram,,G689,GEN 10:22,proper name,,,1,81
Uz_1_1,Uz_1,Uz,ע֥וּץ,uts,,H5780,Ως,Os,,none,GEN 10:23,proper name,,,1,82
Hul_1_1,Hul_1,Hul,חוּל,hul,,H2343,Ουλ,Oul,,none,GEN 10:23,proper name,,,1,83
Gether_1_1,Gether_1,Gether,גֶּתֶר,geter,,H1666,Γαθερ,Gether,,none,GEN 10:23,proper name,,,1,84
Mash_1_1,Mash_1,Mash,מַשׁ,mash,,H4851,Μοσοχ,Mosox,,none,GEN 10:23,proper name,,"In 1CH 1:17, the Hebrew מֶשֶׁךְ (meshekh) Meshech more closely aligns with the Greek of GEN 10:23.  1CH 1:17 is missing from Rahlfs' Septuaginta.",1,85
Shelah_1_1,Shelah_1,Shelah,שָׁלַח,shelach,to send,H7974,Σαλα,Sala,,G4527,GEN 10:24,proper name,,,1,86
Peleg_1_1,Peleg_1,Peleg,פֶּ֗לֶג,peleg,"to cut open, divide",H6389,Φαλεκ,PHalek,,G5317,GEN 10:25,proper name,,,1,87
Joktan_1_1,Joktan_1,Joktan,יָקְטָן,yaqətan,smaller,H3355,Ιεκταν,Iektan,,none,GEN 10:25,proper name,,,1,88
Almodad_1_1,Almodad_1,Almodad,אַלְמוֹדָ֖ד,aləmodad,G-d [El] is loved,H486,Ελμωδαδ,Elmodad,,none,GEN 10:26,proper name,,,1,89
Sheleph_1_1,Sheleph_1,Sheleph,שֶׁלֶף,shelef,"one plucked out, drawn out",H8026,Σαλεφ,Saleph,,none,GEN 10:26,proper name,,,1,90
Hazarmaveth_1_1,Hazarmaveth_1,Hazarmaveth,חֲצַרְמָ֖וֶת,hatsarmavet,village of Maveth,H2700,Ασαρμωθ,Asarmōth,,none,GEN 10:26,proper name,,,1,91
Jerah_1_1,Jerah_1,Jerah,יֶרַח,yirach,moon,H3392,Ιαραχ,Iarax,,none,GEN 10:26,proper name,,,1,92
Hadoram_1_1,Hadoram_1,Hadoram,הֲדוֹרָם,hadoram,Hadad is exalted,H1913,Οδορρα,Odorra,,none,GEN 10:27,proper name,,,1,93
Uzal_1_1,Uzal_1,Uzal,אוּזָל,uzal,,H187,Αιζηλ,Aizēl,,none,GEN 10:27,proper name,,,1,94
Diklah_1_1,Diklah_1,Diklah,דִּקְלָה,diqəlah,[place of] date palms,H1853,Δεκλα,Dekla,,none,GEN 10:27,proper name,,,1,95
Obal_1_1,Obal_1,Obal,עוֹבָ֥ל,oval,,H5745,[none],,,,GEN 10:28,proper name,,"This name is not present in the equivalent passage in Rahlfs' Septuaginta. In the parallel passage of 1CH 1:22, the Hebrew is עֵיבָל (Eybal) Ebal. The Greek of 1CH 1:22 is missing.",1,96
Abimael_1_1,Abimael_1,Abimael,אֲבִימָאֵל,aviymael,[my] father is G-d [El],H39,Αβιμεηλ,Abimeēl,,none,GEN 10:28,proper name,,,1,97
Sheba_2_1,Sheba_2,Sheba,שְׁבָא,shəva,oath or seven,H7614,Σαβευ,Sabeu,,none,GEN 10:28,proper name,,,1,98
Ophir_1_1,Ophir_1,Ophir,אוֹפִ֥ר,ofir,,H211,Ουφιρ,Ouphir,,none,GEN 10:29,proper name,,,1,99
Havilah_2_1,Havilah_2,Havilah,חֲוִילָה,chaviylah,,H2341,Ευιλα,Euila,,none,GEN 10:29,proper name,,,1,100
Jobab_1_1,Jobab_1,Jobab,יוֹבָב,yovav,howler,H3103,Ιωβαβ,Iobab,,none,GEN 10:29,proper name,,,1,101
Reu_1_1,Reu_1,Reu,רְעֽוּ,rəeu,friend,H7466,Ραγαυ,Ragau,,G4466,GEN 11:18,proper name,,,1,102
Serug_1_1,Serug_1,Serug,שְׂר֔וּג,sərug,"descendant i.e., younger branch",H8286,Σερουχ,Seroux,,G4562,GEN 11:20,proper name,,,1,103
Nahor_1_1,Nahor_1,Nahor,נָחוֹר,nachor,the mound of Nahuru,H5152,Ναχωρ,Naxor,,G3493,GEN 11:22,proper name,,,1,104
Terah_1_1,Terah_1,Terah,תֶּרַח,terach,,H8646,Θαρα,THara,,G2291,GEN 11:24,proper name,,,1,105
Abram_1_1,Abram_1,Abram,אַבְרָ֔ם,avəram,exalted father,H87,Αβραμ,Abram,,none,GEN 11:27,proper name,,,1,106
Nahor_2_1,Nahor_2,Nahor,נָחוֹר,nachor,the mound of Nahuru,H5152,Ναχωρ,Naxor,,G3493,GEN 11:27,proper name,,,1,107
Haran_1_1,Haran_1,Haran,הָרָֽן,haran,mountaineer,H2039,Αρραν,Arran,,none,GEN 11:27,proper name,,,1,108
Lot_1_1,Lot_1,Lot,לֽוֹט,lot,"to cover, enfold",H3876,Λωτ,Lot,,G3091,GEN 11:27,proper name,,,1,109
Sarai_1_1,Sarai_1,Sarai,שָׂרָ֔י,sarai,princess,H8297,Σαρα,Sara,,none,GEN 11:29,proper name,,,1,110
Milcah_1_1,Milcah_1,Milcah,מִלְכָּ֔ה,miləkah,queen,H4435,Μελχα,Milxa,,none,GEN 11:29,proper name,,,1,111
Iscah_1_1,Iscah_1,Iscah,יִסְכָּֽה,yiskah,,H3252,Ιεσχα,Iesxa,,none,GEN 11:29,proper name,,,1,112
Pharaoh_1_1,Pharaoh_1,Pharaoh,פַּרְעֹ֛ה,parəoh,,H6547,Φαραω,PHarao,,G5328,GEN 12:15,title,,,1,113
Amraphel_1_1,Amraphel_1,Amraphel,אַמְרָפֶ֣ל,amərafel,,H569,Αμαρφαλ,Amarphal,,none,GEN 14:1,proper name,,,1,114
Amraphel_1_2,Amraphel_1,King of Shinar,מֶֽלֶךְ־שִׁנְעָ֔ר,melek shinəar,,"H4428, H8152","βασιλέως Σεννααρ,",basiléōs Sennaar,,"G995, none",GEN 14:1,title,,,2,115
Arioch_1_1,Arioch_1,Arioch,אַרְי֖וֹךְ,arəiokh,,H746,Αριωχ,Ariox,,none,GEN 14:1,proper name,,,1,116
Arioch_1_2,Arioch_1,King of Ellasar,מֶ֣לֶךְ אֶלָּסָ֑ר,melek elasar,,"H4428, H495",βασιλεὺς Ελλασαρ,basileùs Ellasar,,"G995, none",GEN 14:1,title,,,2,117
Chedorlaomer_1_1,Chedorlaomer_1,Chedorlaomer,כְּדָרְלָעֹ֨מֶר֙,kədarəlaomer,,H3540,Χοδολλογομορ,Xodollogomor,,none,GEN 14:1,proper name,,,1,118
Chedorlaomer_1_2,Chedorlaomer_1,King of Elam,מֶ֣לֶךְ עֵילָ֔ם,melek eilam,,"H4428, H5867a",βασιλεὺς Αιλαμ,basileùs Ailam,,"G995, none",GEN 14:1,title,,,2,119
Tidal_1_1,Tidal_1,Tidal,תִּדְעָל,tidəal,,H8413,Θαργαλ,Thargal,,none,GEN 14:1,proper name,,,1,120
Tidal_1_2,Tidal_1,King of Goiim,מֶ֥לֶךְ גּוֹיִֽם,melek goyim,king of nations,"H4428, H1472b",βασιλεὺς ἐθνῶν,basileùs ethnō̂n,king of the nations/gentiles,"G995, G1484",GEN 14:1,title,,,2,121
Bera_1_1,Bera_1,Bera,בֶּ֙רַע֙,bera,gift,H1298,Βαλλα,Balla,,none,GEN 14:2,proper name,,,1,122
Bera_1_2,Bera_1,King of Sodom,מֶ֣לֶךְ סְדֹ֔ם,melek sədom,,"H4428, H5467",βασιλέως Σοδομων,basiléōs Sodomōn,,"G995, G4670",GEN 14:2,title,,,2,123
Birsha_1_1,Birsha_1,Birsha,בִּרְשַׁ֖ע,birəsha,disagreeable in taste,H1306,Βαρσα,Barsa,,none,GEN 14:2,proper name,,,1,124
Birsha_1_2,Birsha_1,King of Gomorrah,מֶ֣לֶךְ עֲמֹרָ֑ה,melek amorah,,"H4428, H6017",βασιλέως Γομορρας,basiléōs Gomorras,,"G995, G1116",GEN 14:2,title,,,2,125
Shinab_1_1,Shinab_1,Shinab,שִׁנְאָ֣ב,shinav,sin is his father,H8134,Σεννααρ,Sennaar,,none,GEN 14:2,proper name,,,1,126
Shinab_1_2,Shinab_1,King of Admah,מֶ֣לֶךְ אַדְמָ֗ה,melek adəmah,,"H4428, H126",βασιλέως Αδαμα,basiléōs Adama,,"G995, none",GEN 14:2,title,,,2,127
Shemeber_1_1,Shemeber_1,Shemeber,שֶׁמְאֵבֶר,sheməever,,H8038,Συμοβορ,Symobor,,none,GEN 14:2,proper name,,,1,128
Shemeber_1_2,Shemeber_1,King of Zeboiim,מֶ֣לֶךְ צְבֹיִים,melek tsəvoyim,,"H4428, H6636",βασιλέως Σεβωιμ,basiléōs Sebōim,,"G995, none",GEN 14:2,title,,,2,129
King of Bela_1_1,King of Bela_1,King of Bela,מֶ֣לֶךְ בֶּ֖לַע,melek bela,,"H4428, H1106b",βασιλέως Βαλακ,basiléōs Balak,,"G995, G904",GEN 14:2,title,,,1,130
King of Bela_1_2,King of Bela_1,King of Zoar,מֶ֣לֶךְ צֹֽעַר,melek tsoar,,"H4428, H6820",βασιλέως Σηγωρ,basiléōs Sēgōr,,"G995, none",GEN 14:2,title,,,2,131
Mamre_1_1,Mamre_1,Mamre,מַמְרֵ֣א,maməre,strength,H4471,Μαμβρη,Mambrē,,none,GEN 14:13,proper name,,,1,132
Eshcol_1_1,Eshcol_1,Eshcol,אֶשְׁכֹּל,eshəkol,cluster of grapes,H812,Εσχωλ,Esxol,,none,GEN 14:13,proper name,,,1,133
Aner_1_1,Aner_1,Aner,עָנֵ֔ר,aner,,H6063,Αυναν,Aunan,,none,GEN 14:13,proper name,,,1,134
Melchizedek_1_1,Melchizedek_1,Melchizedek, מַלְכִּי־צֶדֶק,Malki-tsedeq,my king is right/righteous,H4442,Μελχισεδεκ,Melxisedek,,G3198,GEN 14:18,title,,,1,135
Melchizedek_1_2,Melchizedek_1,King of Salem,מֶ֣לֶךְ שָׁלֵ֔ם,melek shalem,king of completeness or peace,"H4428, H8004",βασιλεὺς Σαλημ,basileùs Salēm,,"G995, G4532",GEN 14:18,title,,,2,136
G-d_1_5,G-d_1,G-d Most High,אֵ֣ל עֶלְי֔וֹן,el eləyon,G-d [the] Most High,"H430, H5945b",θεοῦ τοῦ ὑψίστου,theoû toû hypsístou,,"G2316, G5310",GEN 14:18,title,Y,,5,137
Melchizedek_1_3,Melchizedek_1,priest of G-d Most High,כֹהֵ֖ן לְאֵ֥ל עֶלְיֽוֹן,kohen ləel eləyon,priest of G-d the Highest [One],"H3548, H410, H5945b",ἱερεὺς τοῦ θεοῦ τοῦ ὑψίστου,hiereùs toû theoû toû hypsístou,priest of G-d the Most High,"G2409, G2316, G5310",GEN 14:18,title,,,3,138
G-d_1_6,G-d_1,posessor of heaven and earth,קֹנֵ֖ה שָׁמַ֥יִם וָאָֽרֶץ,qoneh shamayim vaarets,"[buy, purchase, create, redeem]-er of heaven and earth","G7069, H8064, H776",ἔκτισεν τὸν οὐρανὸν καὶ τὴν γῆν,éktisen tòn ouranòn kaì tḕn gē̂n,Creator of heaven and earth,"G2936, G3772, G1093",GEN 14:19,title,Y,,6,139
G-d_1_7,G-d_1,Lord G-D,אֲדֹנָי יֱהוִ֔ה,adonay y-h-v-h,Lord [special name of G-d],"H136, H3068",Δέσποτα κύριε,Déspota kýrie,"lord, lord","G1203, G2962",GEN 15:2,title,Y,,7,140
Eliezer_1_1,Eliezer_1,Eliezer,אֱלִיעֶֽזֶר,eliyezer,G-d is my help,H461,Ελιεζερ,Eliezer,,G1663,GEN 15:2,proper name,,,1,141
Hagar_1_1,Hagar_1,Hagar,הָגָֽר,hagar,"emigration, flight",H1904,Αγαρ,Agar,,G28,GEN 16:1,proper name,,,1,142
the angel of the LORD_1_1,the angel of the LORD_1,the angel of the LORD,מַלְאַ֧ךְ יְהוָ֛ה,maləakh  y-h-v-h,messenger [of] [special name of G-d],"H4397, H3068",ἀγγέλῳ κυρίου,angélōi kyríou,messenger of lord,none,"GEN 16:7, GEN 22:11, EX 3:2, NUM 22:22",title,,,1,143
Ishmael_1_1,Ishmael_1,Ishmael,יִשְׁמָעֵ֔אל,yishəmael,G-d [El] he heard,H3458,Ισμαηλ,Ismaēl,,none,GEN 16:11,proper name,Y,,1,144
G-d_1_8,G-d_1,G-d Who Sees,אֵ֣ל רֳאִ֑י,el raei,G-d Who Sees,"H410, H7200",ὁ θεὸς ὁ ἐπιδών,ho theòs ho epidṓn,the god who sees,"G2316, G1896",GEN 16:13,title,Y,,8,145
G-d_1_9,G-d_1,G-d Almighty,אֵ֣ל שַׁדַּ֔י,el shadai,G-d Almighty,"H410, H7706b",[none],,,,GEN 17:1,title,Y,This title is not present in the equivalent passage in Rahlfs' Septuaginta.,9,146
Abram_1_2,Abram_1,Abraham,אַבְרָהָ֔ם,avraham,father of many,H85,Αβρααμ,Abraam,,G11,GEN 17:5,proper name,Y,,2,147
Sarai_1_2,Sarai_1,Sarah,שָׂרָה,sarah,queen,H8283,Σαρρα,Sarra,,G4564,GEN 17:14,proper name,Y,,2,148
Isaac_1_1,Isaac_1,Isaac,יִצְחָ֑ק,yitsəchoq,he laughs,H3327,Ισαακ,Isaak,,G2464,GEN 17:19,proper name,Y,,1,149
G-d_1_10,G-d_1,Judge of all the earth,הֲשֹׁפֵט כָּל־הָאָרֶץ,hashofet kal haarets,judge [of] all the land,"H8199, H3605, H776",κρίνων πᾶσαν τὴν γῆν,krínōn pâsan tḕn gē̂n,judge [of] all the earth,"G2919, G3956, G3588, G1093",GEN 18:25,title,Y,,10,150
G-d_1_11,G-d_1,Lord,אֲדֹנָ֔י,adonay,"lord, master, supervisor, one who has authority over another",H113,κύριος,kýrios,lord,G2962,GEN 18:27,title,Y,,11,151
Wife of Lot_1_1,Wife of Lot_1,Wife of Lot,אִשְׁתּ֖וֹ,ishto,his wife,H802,γυνὴ,gynḕ,,G1135,GEN 19:26,description,,,1,152
Firstborn of Lot_1_1,Firstborn of Lot_1,firstborn of Lot,,,,,,,,,GEN 19:31,description,,,1,153
Younger of Lot_1_1,Younger of Lot_1,younger of Lot,,,,,,,,,GEN 19:31,description,,,1,154
Moab_1_1,Moab_1,Moab,מוֹאָ֑ב,moav,from father,H4124,Μωαβ,Moab,,none,GEN 19:37,proper name,,,1,155
