book_name,hebrew_name,hebrew_transliteration,hebrew_meaning,greek_name,greek_transliteration,greek_meaning,chapter_count,verse_count,book_id,christian_sequence,hebrew_sequence,short_name,usx_code,writer_id,written_start_date,written_end_date,written_location_id
Acts,,,,Πράξεις,Praxeis,"actions, deeds",28,1007,44,44,44,Acts,ACT,Luke_1,62,64,
Romans,,,,Ρωμαιος,Romaios,,16,433,45,45,45,Rom,ROM,Saul_2,55,57,
1 Corinthians,,,,I Κορίνθιος,1 Korinthios,,16,437,46,46,46,1Cor,1CO,Saul_2,53,54,
2 Corinthians,,,,II Κορίνθιος,2 Korinthios,,13,257,47,47,47,2Cor,2CO,Saul_2,55,56,
Galatians,,,,Γαλάτης,Galatēs,,6,149,48,48,48,Gal,GAL,Saul_2,48,49,
Ephesians,,,,Εφέσιος,Ephesios,,6,155,49,49,49,Eph,EPH,Saul_2,60,62,
Philippians,,,,Φιλιππήσιος,Philippēsios,,4,104,50,50,50,Phil,PHP,Saul_2,60,62,
Colossians,,,,Κολοσσαίος,Kolossaios,,4,95,51,51,51,Col,COL,Saul_2,60,62,
1 Thessalonians,,,,I Θεσσαλονικεύς,1 Thessalonikeus,,5,89,52,52,52,1Thess,1TH,Saul_2,50,51,
2 Thessalonians,,,,II Θεσσαλονικεύς,2 Thessalonikeus,,3,47,53,53,53,2Thess,2TH,Saul_2,51,52,
1 Timothy,,,,I Τιμόθεος,1 Timotheos,,6,113,54,54,54,1Tim,1TI,Saul_2,62,64,
2 Timothy,,,,II Τιμόθεος,2 Timotheos,,4,83,55,55,55,2Tim,2TI,Saul_2,64,65,
Titus,,,,Τίτος,Titos,,3,46,56,56,56,Titus,TIT,Saul_2,62,64,
Philemon,,,,Φιλήμων,Philēmōn,,1,25,57,57,57,Phlm,PHM,Saul_2,60,62,
Hebrews,,,,Εβραιος,Hebraios,"Hebrews, Jews",13,303,58,58,58,Heb,HEB,Apollos_1,60,68,
James,,,,Ιάκωβος,Iakōbos,Jacob,5,108,59,59,59,Jas,JAS,James_3,45,50,
1 Peter,,,,I Πέτρος,1 Petros,,5,105,60,60,60,1Pet,1PE,Simon_1,62,64,
2 Peter,,,,II Πέτρος,2 Petros,,3,61,61,61,61,2Pet,2PE,Simon_1,64,68,
1 John,,,,I Ιωάννης,1 Iōannēs,,5,105,62,62,62,1John,1JN,John_2,85,90,
2 John,,,,II Ιωάννης,2 Iōannēs,,1,13,63,63,63,2John,2JN,John_2,85,90,
3 John,,,,III Ιωάννης,3 Iōannēs,,1,14,64,64,64,3John,3JN,John_2,85,90,
Jude,,,,Ιούδας,Ioudas,Judah,1,25,65,65,65,Jude,JUD,Judas_2,60,65,
Revelation,,,,αποκάλυψις,Apokalupsis,"revelation, disclosure",22,404,66,66,66,Rev,REV,John_2,67,69,
